deviceIORate,cpu,memory,conns,arrivalRate,ioLoad,cpuLoad,responseTime
50mb,4,700m,25,12,100,400,11414.8
50mb,4,700m,25,12,100,450,11271.9
50mb,4,700m,25,12,100,500,7784.3
50mb,4,700m,25,12,120,350,13914.4
50mb,4,700m,25,12,120,400,14806.4
50mb,4,700m,25,12,120,450,17527.8
50mb,4,700m,25,12,120,500,15727.4
50mb,4,700m,25,12,140,350,18859.2
50mb,4,700m,25,12,140,400,17955.1
50mb,4,700m,25,12,140,450,19403.2
50mb,4,700m,25,12,140,500,17965.7
50mb,4,700m,25,12,160,350,22971.0
50mb,4,700m,25,12,160,400,23863.4
50mb,4,700m,25,12,160,450,22342.1
50mb,4,700m,25,12,160,500,23946.6
50mb,4,700m,25,12,180,350,28334.0
50mb,4,700m,25,12,180,400,27605.7
50mb,4,700m,25,12,180,450,28179.8
50mb,4,700m,25,12,180,500,27703.1
50mb,4,700m,25,12,200,350,32595.7
50mb,4,700m,25,12,200,400,32196.4
50mb,4,700m,25,12,200,450,32256.5
50mb,4,700m,25,12,200,500,33514.6
50mb,4,700m,25,13,0,350,14.9
50mb,4,700m,25,13,0,400,15.1
50mb,4,700m,25,13,0,450,15.1
50mb,4,700m,25,13,0,500,14.9
50mb,4,700m,25,13,20,350,24.3
50mb,4,700m,25,13,20,400,24.0
50mb,4,700m,25,13,20,450,24.0
50mb,4,700m,25,13,20,500,23.5
50mb,4,700m,25,13,40,350,1044.0
50mb,4,700m,25,13,40,400,609.5
50mb,4,700m,25,13,40,450,594.3
50mb,4,700m,25,13,40,500,584.9
50mb,4,700m,25,13,60,350,2794.3
50mb,4,700m,25,13,60,400,2661.0
50mb,4,700m,25,13,60,450,2910.8
50mb,4,700m,25,13,60,500,4120.3
50mb,4,700m,25,13,80,350,6479.1
50mb,4,700m,25,13,80,400,6455.9
50mb,4,700m,25,13,80,450,5447.7
50mb,4,700m,25,13,80,500,6879.0
50mb,4,700m,25,13,100,350,9541.6
50mb,4,700m,25,13,100,400,9859.4
50mb,4,700m,25,13,100,450,8798.2
50mb,4,700m,25,13,100,500,12107.8
50mb,4,700m,25,13,120,350,17600.4
50mb,4,700m,25,13,120,400,18426.8
50mb,4,700m,25,13,120,450,15875.1
50mb,4,700m,25,13,120,500,18452.1
50mb,4,700m,25,13,140,350,21481.8
50mb,4,700m,25,13,140,400,20951.7
50mb,4,700m,25,13,140,450,20980.8
50mb,4,700m,25,13,140,500,23240.4
50mb,4,700m,25,13,160,350,27655.6
50mb,4,700m,25,13,160,400,22330.2
50mb,4,700m,25,13,160,450,22056.3
50mb,4,700m,25,13,160,500,20266.3
50mb,4,700m,25,13,180,350,25431.0
50mb,4,700m,25,13,180,400,26321.7
50mb,4,700m,25,13,180,450,27230.7
50mb,4,700m,25,13,180,500,24505.8
50mb,4,700m,25,13,200,350,29216.2
50mb,4,700m,25,13,200,400,29396.4
50mb,4,700m,25,13,200,450,31248.0
50mb,4,700m,25,13,200,500,31393.6
50mb,4,700m,25,14,0,350,14.9
50mb,4,700m,25,14,0,400,14.5
50mb,4,700m,25,14,0,450,15.2
50mb,4,700m,25,14,0,500,14.6
50mb,4,700m,25,14,20,350,23.7
50mb,4,700m,25,14,20,400,23.9
50mb,4,700m,25,14,20,450,24.0
50mb,4,700m,25,14,20,500,23.8
50mb,4,700m,25,14,40,350,733.0
50mb,4,700m,25,14,40,400,580.2
50mb,4,700m,25,14,40,450,560.2
50mb,4,700m,25,14,40,500,600.6
50mb,4,700m,25,14,60,350,2840.2
50mb,4,700m,25,14,60,400,4180.0
50mb,4,700m,25,14,60,450,2657.6
50mb,4,700m,25,14,60,500,2747.3
50mb,4,700m,25,14,80,350,5722.7
50mb,4,700m,25,14,80,400,5519.1
50mb,4,700m,25,14,80,450,5244.1
50mb,4,700m,25,14,80,500,4979.5
50mb,4,700m,25,14,100,350,12307.8
50mb,4,700m,25,14,100,400,8204.2
50mb,4,700m,25,14,100,450,11575.6
50mb,4,700m,25,14,100,500,10695.5
50mb,4,700m,25,14,120,350,16025.4
50mb,4,700m,25,14,120,400,19219.9
50mb,4,700m,25,14,120,450,18251.7
50mb,4,700m,25,14,120,500,16403.0
50mb,4,700m,25,14,140,350,21636.7
50mb,4,700m,25,14,140,400,20440.1
50mb,4,700m,25,14,140,450,20415.1
50mb,4,700m,25,14,140,500,20759.2
50mb,4,700m,25,14,160,350,23580.5
50mb,4,700m,25,14,160,400,24855.6
50mb,4,700m,25,14,160,450,23338.0
50mb,4,700m,25,14,160,500,23815.9
50mb,4,700m,25,14,180,350,30460.6
50mb,4,700m,25,14,180,400,30042.7
50mb,4,700m,25,14,180,450,28185.0
50mb,4,700m,25,14,180,500,29830.5
50mb,4,700m,25,14,200,350,38105.2
50mb,4,700m,25,14,200,400,33925.2
50mb,4,700m,25,14,200,450,37775.5
50mb,4,700m,25,14,200,500,33317.0
50mb,4,700m,25,15,0,350,15.3
50mb,4,700m,25,15,0,400,14.5
50mb,4,700m,25,15,0,450,14.3
50mb,4,700m,25,15,0,500,14.7
50mb,4,700m,25,15,20,350,24.2
50mb,4,700m,25,15,20,400,23.8
50mb,4,700m,25,15,20,450,23.8
50mb,4,700m,25,15,20,500,24.2
50mb,4,700m,25,15,40,350,485.7
50mb,4,700m,25,15,40,400,726.8
50mb,4,700m,25,15,40,450,582.8
50mb,4,700m,25,15,40,500,502.3
50mb,4,700m,25,15,60,350,2757.2
50mb,4,700m,25,15,60,400,2646.2
50mb,4,700m,25,15,60,450,2789.2
50mb,4,700m,25,15,60,500,2702.7
50mb,4,700m,25,15,80,350,6007.2
50mb,4,700m,25,15,80,400,8603.1
50mb,4,700m,25,15,80,450,5237.1
